original	gold_id	pred_id
はいえーとまず1万円はこれはあの ATM 皆さん ご存じのATM なんですけどもこれはもう郵便局の ATM です	現在（状態、性質、考えなど）	現在（状態、性質、考えなど）
これなぜ撮影したかって言うと	最近（1か月以内）	過去
今ご存知のように	現在（状態、性質、考えなど）	現在（状態、性質、考えなど）
物価高とか低金利時代が進む中でですねあの	現在（状態、性質、考えなど）	現在（状態、性質、考えなど）
郵便貯金とかま銀行の預金金利ですが	現在（状態、性質、考えなど）	現在（状態、性質、考えなど）
ご存知のように	現在（状態、性質、考えなど）	現在（状態、性質、考えなど）
普通の預金の利息は0.01かな	現在（状態、性質、考えなど）	現在（状態、性質、考えなど）
で100万円やっても	現在（状態、性質、考えなど）	現在（状態、性質、考えなど）
年に税金抜かれて80円ぐらいになんですよね	現在（状態、性質、考えなど）	現在（状態、性質、考えなど）
ほんのわずかでそれこそ交通費にも満たないような金利なんで	現在（状態、性質、考えなど）	現在（状態、性質、考えなど）
それではですねどうするかっていうと	現在（状態、性質、考えなど）	現在（状態、性質、考えなど）
まああの皆さんご存知と思いますけども	現在（状態、性質、考えなど）	現在（状態、性質、考えなど）
これらの郵便局ってない365日全部タダなんですよね	現在（状態、性質、考えなど）	現在（状態、性質、考えなど）
引き出す場合はだそれできるだけそれを活用するように家族ももちろん私も郵便貯金を利用しております	現在（状態、性質、考えなど）	現在（状態、性質、考えなど）
これですねまぁ前回と同じようなんですけど	現在（状態、性質、考えなど）	現在（状態、性質、考えなど）
体力増強に何がいいか毎年年齢を重ねてもこれから新しいスポーツはやってもちょっと無理だなと日ごろ体力を作るにはどうするかと言うと	現在（状態、性質、考えなど）	現在（状態、性質、考えなど）
まずそのペットボトル2本をですね同じ両腕でもってそれをまあ朝晩前後ですねあの上下左右とそういうふっている状況です	過去-現在（習慣など）	過去-現在（習慣など）
でもう一点はこのタオルですねこれをタオルを肩幅ぐらいに持って首の後ろに掲げたり左右同じような体勢で右に傾いたりしたり傾いたり	過去-現在（習慣など）	現在（状態、性質、考えなど）
またはそのタオルを下に向いてくぐったりするそういう体勢をこの2点をですね毎日朝晩大体４．5分間ずつやってます	過去-現在（習慣など）	過去-現在（習慣など）
ま体力増強の一環だと私は思いますね	現在（状態、性質、考えなど）	現在（状態、性質、考えなど）
これあの今回は二つとも100円均一のに関係するんですけどこれはあの上が食器の洗った時の水切りかごです	現在（状態、性質、考えなど）	現在（状態、性質、考えなど）
手前にあるのがその中に入ってるあの薄いの上にもあるんですけど	現在（状態、性質、考えなど）	現在（状態、性質、考えなど）
あれと同じもので箸だとか長いものを入れるものですね	現在（状態、性質、考えなど）	現在（状態、性質、考えなど）
それで一応このこれがその丸いものが元々はプラスチックのようなのが入ってたんですけど	現在（状態、性質、考えなど）	過去
それが壊れちゃったもんでそれでこれをに変えようって風になったんですけど	最近（1か月以内）	過去
これ行くのにどこへ行こうかって事で	現在（状態、性質、考えなど）	現在（状態、性質、考えなど）
100円均一ならこういうの売ってるよっていうことで行ったら	最近（1か月以内）	過去
ちょうどこれがあったわけですね	最近（1か月以内）	過去
で前のプラスチックのマグカップみたいなんですけどこれだとちょうど金物とぴったりになる	現在（状態、性質、考えなど）	現在（状態、性質、考えなど）
であこれでいいやということでまず設置して箸を入れたんですけど	最近（1か月以内）	過去
あのわっかんとこから全部こう外れちゃうということで終わっちゃったかこれは	最近（1か月以内）	過去
これも百均で買ったんですけど	最近（1か月以内）	過去
これあのダイヤモンド人工ダイヤモンドが入ってるって言うこの風呂の一番汚れる鏡ですね	現在（状態、性質、考えなど）	現在（状態、性質、考えなど）
風呂風呂のあれがで１年ぐらい経ったらすごく汚れちゃってね	過去	過去
いろんなものを使ったんですけど落ちないんですよね	過去	現在（状態、性質、考えなど）
それでたまたまこれがあのラジオの100円ショップの便利な物っていうことで紹介されて	最近（1か月以内）	過去
これを買いに行ったわけなんです	最近（1か月以内）	過去
これ買って行ったらすごく綺麗に落ちたということでこれを紹介しました	現在（状態、性質、考えなど）	過去
後はいろんな通販なんかでも買ったんですけど	過去	過去
それでもやっぱり解決しないんですけど	過去	現在（状態、性質、考えなど）
